34080000,790000,790000,790000,790000,20,0
34199000,793500,793500,789400,789400,101,0
34200000,785900,787000,785100,785900,133311,0
34201000,785425,785425,785425,785425,28,0
34202000,786500,786500,785101,785101,218,0
34203000,789200,789200,785900,785900,201,0
34204000,789200,789200,789200,789200,141,0
34209000,789300,789600,787300,787800,2000,0
34215000,789600,789600,789600,789600,52,0
34218000,787400,787400,787400,787400,100,0
34224000,787400,789700,787400,789700,500,0
34230000,789700,789700,789700,789700,200,0
34232000,789600,789600,787400,787550,1734,0
34235000,789500,789600,789500,789600,122,0
34237000,789600,790100,789600,789700,3984,0
34238000,790100,790100,789900,789900,200,0
34239000,793000,793700,791700,793700,1100,0
34244000,793700,793700,793700,793700,100,0
34251000,790900,790900,790900,790900,37,0
34255000,792200,792200,792200,792200,34,0
34259000,793800,793800,793800,793800,100,0
34261000,792200,793700,790600,793700,1300,0
34262000,793600,793600,793600,793600,200,0
34274000,790750,790750,790750,790750,200,0
34279000,793300,794000,792700,794000,5304,0
34280000,793250,793250,793250,793250,100,0
34287000,793600,793600,793600,793600,34,0
34289000,793800,793800,793800,793800,69,0
34295000,793300,793300,793300,793300,100,0
34301000,794760,794760,794760,794760,2,0
34307000,795100,795100,795100,795100,100,0
34309000,795100,795100,795100,795100,100,0
34316000,794200,795300,793600,795300,1910,0
34317000,794900,794900,794900,794900,5,0
34320000,793800,793800,793800,793800,34,0
34321000,795300,795300,795300,795300,100,0
34330000,794200,794200,794200,794200,100,0
34344000,794100,794100,794100,794100,100,0
34350000,794100,794900,794100,794900,725,0
34356000,794400,795200,794350,795100,1296,0
34357000,795000,795200,794550,794600,500,0
34358000,795200,795300,795200,795300,245,0
34359000,795400,795400,795400,795400,100,0
34361000,795400,795600,795400,795600,500,0
34362000,795600,795600,795600,795600,100,0
34363000,795700,796200,795700,796200,400,0
34367000,797300,797300,797300,797300,100,0
34370000,797500,797500,797500,797500,146,0
34386000,796250,796250,796250,796250,100,0
34394000,797499,797499,797499,797499,100,0
34396000,795500,797400,795300,797100,1000,0
34397000,796150,796150,795150,795150,200,0
34401000,796050,796050,796050,796050,100,0
34407000,796050,797000,796050,797000,300,0
34410000,796100,797100,795500,796200,1730,0
34412000,797100,797100,797100,797100,400,0
34413000,796900,797300,795300,797300,700,0
34414000,797200,797300,797200,797300,300,0
34415000,795700,795700,795700,795700,34,0
34417000,795600,795600,795600,795600,10,0
34419000,797300,797300,797300,797300,100,0
34425000,797100,797100,797100,797100,20,0
34426000,796700,796899,796700,796799,200,0
34427000,796699,796700,796699,796700,200,0
34428000,796900,797200,795700,797200,1000,0
34429000,797200,797200,797200,797200,100,0
34430000,797200,797200,797200,797200,100,0
34431000,796150,797100,796150,797100,200,0
34432000,795790,796600,795745,795900,1800,0
34433000,796500,796500,796325,796500,600,0
34434000,795900,797000,795900,796450,775,0
34435000,797000,797000,796000,796000,500,0
34437000,797400,797400,796700,796700,600,0
34438000,797050,797200,796000,797200,1000,0
34441000,796700,796700,796700,796700,200,0
34442000,796800,796800,796400,796600,1500,0
34443000,797025,797700,796850,797700,340,0
34445000,797150,797600,796800,796800,400,0
34446000,796800,796800,796800,796800,200,0
34449000,797600,797600,797600,797600,100,0
34450000,797200,797200,797200,797200,100,0
34452000,797200,797200,797200,797200,100,0
34455000,797300,797300,796600,796800,1886,0
34456000,796500,796500,796500,796500,100,0
34458000,796300,796500,796200,796200,500,0
34475000,795300,795750,795000,795000,701,0
34476000,794900,794900,794800,794800,200,0
34477000,793600,793600,793600,793600,100,0
34481000,792200,792200,792200,792200,34,0
34487000,792900,792900,792850,792850,400,0
34488000,793799,793799,793799,793799,23,0
34490000,793400,793400,793300,793300,300,0
34496000,792500,792800,791600,791650,1330,0
34498000,792900,792900,792900,792900,100,0
34499000,792900,792900,792900,792900,100,0
34500000,792900,792900,791700,791700,351,0
34502000,791600,791600,790700,791300,1400,0
34503000,790600,790600,790600,790600,1,0
34507000,791600,791600,791600,791600,210,0
